id,currency_id/id,code,name,user_type_id/id
scenario.account_1000,,1000,Kasse CHF,account.data_account_type_liquidity
scenario.account_1003,base.EUR,1003,Kasse EUR,account.data_account_type_liquidity
scenario.account_1004,base.HKD,1004,Kasse HKD,account.data_account_type_liquidity
scenario.account_1010,,1010,CCP 84-001285-1,account.data_account_type_liquidity
scenario.account_1020,,1020,ZKB CH7400700115500086877,account.data_account_type_liquidity
scenario.account_1021,,1021,ZKB CH2300700115500179557,account.data_account_type_liquidity
scenario.account_1024,,1024,AFEX,account.data_account_type_current_assets
scenario.account_1025,,1025,Viseca,account.data_account_type_current_assets
scenario.account_1026,,1026,Verrechnungskonto Kunden/Lieferanten,account.data_account_type_current_assets
scenario.account_1090,,1090,Geld-Transferkonto,account.data_account_type_current_assets
scenario.account_1091,,1191,Kautionen Miete/ZAZ,account.data_account_type_current_assets
scenario.account_1092,,1192,Vorauszahlungen an Lieferanten,account.data_account_type_current_assets
scenario.account_1093,,1193,Verrechn.kto. Vorauszahlungen an Lief.,account.data_account_type_current_assets
scenario.account_1094,,1194,BVG Arbeitgeberbeitragsreserve,account.data_account_type_current_assets
scenario.account_1223,,1223,Vorrat Zubehör Sortiment IL,account.data_account_type_current_assets
scenario.account_1229,,1229,WB Vorräte Werkstoffe Sortiment IL (Warenreserve),account.data_account_type_current_assets
scenario.account_1231,,1231,Vorräte Verbrauchsmaterial,account.data_account_type_current_assets
scenario.account_1232,,1232,Vorräte Verpackungsmaterial,account.data_account_type_current_assets
scenario.account_1233,,1233,Vorräte Werbematerial und Reklameartikel,account.data_account_type_current_assets
scenario.account_1238,,1238,Anzahlung für Hilfs- und Verbrauchsmat.,account.data_account_type_current_assets
scenario.account_1239,,1239,WB Vorräte Hilfs- und Verbrauchsmaterial,account.data_account_type_current_assets
scenario.account_1241,,1241,Handelswaren in Transit BEG,account.data_account_type_current_assets
scenario.account_1242,,1242,Handelswaren in Transit - Luftfracht BEG,account.data_account_type_current_assets
scenario.account_1243,,1243,Handelswaren in Transit - Seefracht BEG,account.data_account_type_current_assets
scenario.account_1244,,1244,Handelswaren in Transit LEUCHTEN,account.data_account_type_current_assets
scenario.account_1460,,1460,Darlehensforderungen gg. Aktionären,account.data_account_type_current_assets
scenario.account_1461,,1461,Aktivhypotheken gegenüber Aktionär EGL,account.data_account_type_current_assets
