id,sale_warn,sale_warn_msg,use_parent_address,street,supplier,city,user_id,zip,title,function,country_id/id,company_id,parent_id/id,type,email,is_company,website,lang,fax,street2,phone,ref,active,tz,customer,credit_limit,mobile,opt_out,notify_email,property_payment_term_id/id,property_supplier_payment_term_id/id,property_product_pricelist/id,property_account_receivable_id,property_account_payable_id,property_account_position_id,property_delivery_carrier_id/id,property_stock_supplier/id,category_id/id,name2,eev_member,eev_number,eev_alarm,region_id/id,pobox_nr,pobox_zip,pobox_city,companytype,headquarter_id/id,mailing_email,mailing,department,lastname,firstname,partner_invoicing_id/id,influence,partner_state,property_purchase_currency_id,comment
partner_14470,warning,"
Achtung: Nur Lieferadresse!! RG und GU immer auf PREGASSONA (10999)
Rechnung auch faxen !\b0


",FALSE,"via Linoleum 14",false,"Giubiasco",sgi,"6512",,,base.ch,Swisslux AG,,contact,"",TRUE,"",it_IT,"+41 91 8500536","","+41 91 8500535",14470,true,"Europe/Zurich",true,10000.0000,"",false,always,scenario.accountpaymentterm_60dn40d3s,,scenario.productpricelist_all_gh_eldas,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_27,scenario.partner_category_5","",FALSE,,FALSE,scenario.region_-2144060029,"","","",,,,0,,"FABBRI SA","",partner_10999,,,,
partner_10754,warning,"Achtung: Nur Lieferadresse! Rechnungsadresse: 11162\lang2055\f1





",FALSE,"Edisonstrasse 5",false,"St. Gallen",mka,"9015",,,base.ch,Swisslux AG,,contact,"",TRUE,"",de_DE,"+41 71 314 77 88","","+41 71 314 77 77",10754,true,"Europe/Zurich",true,5000.0000,"",false,always,scenario.accountpaymentterm_60dn40d3s,,scenario.productpricelist_all_gh_eldas,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_27,scenario.partner_category_28,scenario.partner_category_5","",FALSE,,FALSE,scenario.region_-2142967379,"","","",,,,0,,"Winterhalter + Fenner AG","",partner_11162,,,,
partner_11200,warning,"Achtung: Nur Lieferadresse! Rechnungsadresse: 11162\lang2055\f1





",FALSE,"Filiale Wallisellen",false,"Wallisellen",ddj,"8304",,,base.ch,Swisslux AG,,contact,"verkauf_wa@w-f.ch",TRUE,"www.w-f.ch",de_DE,"+41 44 839 57 57","Hertistrasse 31","+41 44 839 57 11",11200,true,"Europe/Zurich",true,10000.0000,"",false,always,scenario.accountpaymentterm_60dn40d3s,,scenario.productpricelist_all_gh_eldas,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_27,scenario.partner_category_28,scenario.partner_category_5","",FALSE,,FALSE,scenario.region_-2144060038,"","","",,,,0,,"Winterhalter + Fenner AG","",partner_11162,,,,
partner_11965,warning,"Achtung: Nur Lieferadresse! Rechnungsadresse: 11162




",FALSE,"Filiale Rothenburg",false,"Rothenburg",mle,"6023",,,base.ch,Swisslux AG,,contact,"lager.rothenburg@sonepar.ch",TRUE,"www.w-f.ch",de_DE,"+41 41 259 40 60","Sonnmatthof 6","+41 41 259 40 50",11965,true,"Europe/Zurich",true,5000.0000,"",false,always,scenario.accountpaymentterm_60dn40d3s,,scenario.productpricelist_all_gh_eldas,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_27,scenario.partner_category_28,scenario.partner_category_32,scenario.partner_category_5","",FALSE,,FALSE,scenario.region_-2144060049,"","6014","",,,,0,,"Winterhalter + Fenner AG","",partner_11162,,,,
partner_131703,warning,"Achtung: Nur Lieferadresse! Rechnungsadresse: 11227
",FALSE,"Avenue de Longueville 17",false,"Colombier NE",mse,"2013",,,base.ch,Swisslux AG,,contact,"vente@electrolan.ch",TRUE,"www.electrolan.ch",fr_FR,"+41 32 7378880","","+41 32 7378888",131703,true,"Europe/Zurich",true,0.0000,"",false,always,scenario.accountpaymentterm_60dn40d3s,scenario.accountpaymentterm_30dn,scenario.productpricelist_all_gh_eldas,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_27,scenario.partner_category_28,scenario.partner_category_5","",FALSE,,FALSE,scenario.region_-2144059996,"","","",,,,0,,"ElectroLAN SA","",partner_11227,,,CHF,
partner_15959,warning,"Achtung: Nur Lieferadresse! Rechnungsadresse: 11227\lang2055\f1




",FALSE,"Rue de Lausanne 79",false,"Renens VD",mse,"1020",,,base.ch,Swisslux AG,,contact,"",TRUE,"",fr_FR,"+41 21 637 01 80","","+41 21 637 01 88",15959,true,"Europe/Zurich",true,3000.0000,"",false,always,scenario.accountpaymentterm_60dn40d3s,,scenario.productpricelist_all_gh_eldas,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_27,scenario.partner_category_28,scenario.partner_category_5","",FALSE,,FALSE,scenario.region_-2144060037,"","","",,,,1,,"ElectroLAN SA","",partner_11227,,,,
partner_10921,warning,"Alle Rechnungen/gutschriften an Kdnr. 11461 (Electroplast Meryrin)





",FALSE,"Shop Zürich Süd",false,"Horgen",dla,"8810",,,base.ch,Swisslux AG,,contact,"verkauf_wa@w-f.ch",TRUE,"",de_DE,"+41 44 726 04 01","Tödistrasse 50","+41 44 726 04 00",10921,true,"Europe/Zurich",true,5000.0000,"",false,always,scenario.accountpaymentterm_60dn40d3s,,scenario.productpricelist_all_gh_eldas,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_27,scenario.partner_category_5","",FALSE,,FALSE,scenario.region_-2144060016,"","","",,,,0,,"Winterhalter + Fenner AG","",partner_11461,,,,
partner_13694,warning,"Alle Rechnungen an Kdnr. 11461 (Electroplast Meryrin)

Keine GU's auf diese Adresse 



",FALSE,"Route des Jeunes 105",false,"Carouge GE",mse,"1227",,,base.ch,Swisslux AG,,contact,"",TRUE,"www.electroplast.ch",fr_FR,"+41 22 3420211","","+41 22 3420160",13694,true,"Europe/Zurich",true,10000.0000,"",false,always,scenario.accountpaymentterm_60dn40d3s,,scenario.productpricelist_all_gh_eldas,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_27,scenario.partner_category_32,scenario.partner_category_5","",FALSE,,FALSE,scenario.region_-2144060041,"","","",,,,0,,"Electroplast SA","",partner_11461,,,,
partner_10425,warning,"{\rtf1\deff0\nouicompat\splytwnine\htmautsp\plain\ql\f1\fs17\cf1\plain\ql\f1\fs17\cf1\plain\ql{\field{\*\fldinAchtung: bei Gutschriften jeweils Skonto-Abzug manuell vornehmen !!!



",FALSE,"Heinrichstrasse 200",true,"Zürich",dla,"8005",,,base.ch,Swisslux AG,,contact,"em-zh@elektro-material.ch",TRUE,"www.elektro-material.ch",de_DE,"+41 44 278 12 91","","+41 44 278 11 11",10425,true,"Europe/Zurich",true,300000.0000,"+41 44 2781241",false,always,scenario.accountpaymentterm_60dn30d3s,scenario.accountpaymentterm_60dn30d2s,scenario.productpricelist_all_gh_eldas,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_22,scenario.partner_category_5","",FALSE,,FALSE,scenario.region_-2144060003,"","8031","",,,1,0,,"Elektro-Material AG","",partner_134494,,,CHF,
partner_10428,warning,"bei GutRechnungen immer im Doppel!\fs17



",FALSE,"Margarethenstrasse 47",false,"Basel",ddj,"4053",,,base.ch,Swisslux AG,,contact,"em-ba@elektro-material.ch",TRUE,"",de_DE,"+41 61 281 49 30","","+41 61 286 11 11",10428,true,"Europe/Zurich",true,50000.0000,"",false,always,scenario.accountpaymentterm_60dn30d3s,,scenario.productpricelist_all_gh_eldas,1100,2000,,"scenario.carrier_post_pri",stock.stock_location_suppliers,"scenario.partner_category_22,scenario.partner_category_5","",FALSE,,FALSE,scenario.region_-2144060004,"439","4002","Basel",,,1,0,,"Elektro-Material AG","",partner_134495,,,,
